housing_median_age,median_income,median_house_value,percentage_total_bedrooms,percentage_households,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY
0.7864705882352941,0.5442717341829768,0.9032437185826038,0.04886803607932078,0.12472334176085663,0,0,0,1
0.3982352941176471,0.5426467910787437,0.7111640982923781,0.052137469383310465,0.1391527237499999,0,0,0,1
1.0,0.47136777423759674,0.6981002346382077,0.04280382332745672,0.10573909774710495,0,0,0,1
1.0,0.36115157032316797,0.6760549647217949,0.062316820439143945,0.14892424871380847,0,0,0,1
1.0,0.23846836595357307,0.6778920705481627,0.05792622514289789,0.13821260759191908,0,0,0,1
1.0,0.25148156577150665,0.5299029900907625,0.0791210196591969,0.18104133828832647,0,0,0,1
1.0,0.22569412835685027,0.5901192366217046,0.06531467739034705,0.1749320265832186,0,0,0,1
1.0,0.1888871187983614,0.47213621799497735,0.07541095925174628,0.17971813777160747,0,0,0,1
0.8058823529411765,0.11790851160673647,0.4421301561643045,0.08924301262349033,0.20031076577053772,0,0,0,1
1.0,0.22788575329995447,0.5123484233054709,0.06755627953602489,0.1736022954074251,0,0,0,1
1.0,0.19456076467910788,0.5539894887031394,0.06680424339382711,0.15790911242334993,0,0,0,1
1.0,0.19916249431042332,0.472952709473363,0.07304770086439158,0.1806400390555015,0,0,0,1
1.0,0.18581474738279474,0.4151859373775778,0.06438616951642605,0.16238819357061984,0,0,0,1
1.0,0.15840919435593992,0.3698706603271739,0.09426890639864866,0.21474085365853657,0,0,0,1
1.0,0.10673190714610835,0.304347219186725,0.08092463115183136,0.2017477688473903,0,0,0,1
0.9611764705882354,0.12095357305416478,0.2651556282242135,0.08654547673047941,0.20270203747769183,0,0,0,1
1.0,0.16533227127901684,0.29067098692376525,0.059490545213207395,0.14594324440533687,0,0,0,1
1.0,0.12062585343650432,0.2967946730116577,0.08154518665595001,0.21199584671176416,0,0,0,1
0.9611764705882354,0.11181156121984524,0.30332660483874296,0.06897855557363257,0.16176522327811105,0,0,0,1
1.0,0.15360946745562132,0.3118997653617923,0.06722210855747136,0.158251331958332,0,0,0,1
0.7670588235294118,0.06857305416477014,0.28046484344394457,0.0838207671417941,0.1903345984849865,0,0,0,1
0.8058823529411765,0.09285844333181612,0.3055719564043035,0.07633070221196413,0.19224611628584773,0,0,0,1
1.0,0.09364360491579428,0.21187955925954946,0.07568018940588644,0.1694223214835176,0,0,0,1
1.0,0.12474965862539829,0.18289411177685866,0.06771024028766263,0.16631457293108648,0,0,0,1
1.0,0.15338416021847978,0.2500505358740789,0.06659088630079239,0.16396563073752776,0,0,0,1
0.7864705882352941,0.139988620846609,0.19881569560537896,0.0784579030552502,0.1915070635525138,0,0,0,1
0.9417647058823531,0.14380518889394633,0.17085086247067022,0.07349379760884081,0.18229997288803018,0,0,0,1
1.0,0.09931042330450615,0.19473323821345068,0.07558324954826598,0.18033064407946245,0,0,0,1
0.9611764705882354,0.08800409649522077,0.20167341577972875,0.080732555837213,0.19551459823043438,0,0,0,1
1.0,0.09108329540282203,0.2488257986565004,0.07475442840145387,0.18324011035954985,0,0,0,1
0.9417647058823531,0.10746244879380974,0.22902588030564822,0.0796625836608015,0.17031787328349884,0,0,0,1
1.0,0.10979062357760584,0.21453315656430283,0.0761503458208505,0.17667571610577273,0,0,0,1
0.9223529411764707,0.09855257168866637,0.20473525882367496,0.07238215330210845,0.15094514980739004,0,0,0,1
0.9417647058823531,0.06974738279472008,0.1935085009958722,0.0753472860872885,0.17158660774139978,0,0,0,1
0.9805882352941178,0.16228038233955394,0.20330639873650005,0.07330038503432437,0.1735536467058717,0,0,0,1
0.9417647058823531,0.07733272644515249,0.17779104003694832,0.07923647960528606,0.18717047833079956,0,0,0,1
0.9223529411764707,0.05078060992262176,0.19269200951748652,0.08213744644094337,0.1793542332382004,0,0,0,1
1.0,0.07215748748293128,0.19146727229990804,0.08847347990226384,0.22882332063381325,0,0,0,1
